epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.528,3.1686,6.14026,1.99592,0.06219,0.10332,0.02767,0.00849,3.08987,3.13116,2.05888,0.000665333,0.000665333,0.000665333
2,557.437,1.81442,2.54708,1.19621,0.15707,0.24834,0.11191,0.05142,1.74346,2.38645,1.20411,0.00106826,0.00106826,0.00106826
3,826.074,1.70415,2.37252,1.14342,0.12198,0.20363,0.06965,0.025,2.63405,3.07076,1.69418,0.00120719,0.00120719,0.00120719
4,1095.46,1.62115,2.24343,1.11069,0.29371,0.30997,0.23151,0.12067,1.51018,2.07403,1.11411,0.000812,0.000812,0.000812
5,1364.76,1.55833,2.09189,1.08774,0.38746,0.37953,0.34602,0.18251,1.4683,1.84382,1.10272,0.000416,0.000416,0.000416
